date,startup_name,industry_vertical,subvertical,country,city /state location,investors_name,investment_type,amount_in_usd,year,month
2018-08-26,Shubh Loans,FinTech,Customer Sourcing Platform,India,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000,2018,August
2018-08-26,ZestMoney,Consumer Internet,Online Lending Platform,India,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000,2018,August
2018-08-22,Pi Ventures,SaaS & Enterprise Tech,Applied Artificial Intelligence and IoT focused Platform,India,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,6000000,2018,August
2018-08-22,Revv,Consumer Internet,Online Indian Car Rental Platform,India,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000,2018,August
2018-08-20,Finzy,FinTech,Online Loan Matchmaking Platform,India,Bengaluru,Undisclosed,Seed Funding,1000000,2018,August
2018-08-20,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,India,Mumbai,Alteria Capital,Debt Funding,4800000,2018,August
2018-08-17,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,India,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000,2018,August
2018-08-16,Enakshi,Consumer Internet,AI Based Solutions Platform,India,Ahmedabad,Undisclosed,Seed Funding,114811,2018,August
2018-08-13,Inthree,Consumer Internet,Rural E-commerce Platform,India,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed Funding,4000000,2018,August
2018-08-13,Observe AI,SaaS & Enterprise Tech,AI Based Solutions Platform,India,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000,2018,August
2018-08-09,Happy EMI,FinTech,Consumer Financing Platform,India,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed Funding,1000000,2018,August
2018-08-09,quizizz,EdTech,e-learning Platform,India,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed Funding,3000000,2018,August
2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,India,Bengaluru,Vertex Ventures,Seed Funding,4000000,2018,August
2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,India,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000,2018,August
2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,India,Bengaluru,Flipkart,Private Equity,66000000,2018,August
2018-08-07,MakeMyTrip,Consumer Internet,Online Travel Aggregator,India,Gurugram,MakeMyTrip Limited,Private Equity,10000000,2018,August
2018-08-07,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,India,Mumbai,Undisclosed,Seed Funding,1000000,2018,August
2018-08-07,ShopX,Consumer Internet,Assisted E-commerce Platform,India,Bengaluru,Fung Strategic Holdings,Private Equity,35000000,2018,August
2018-08-03,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,India,Gurugram,Y Combinator,Private Equity,120000,2018,August
2018-08-02,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,India,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000,2018,August
2018-08-01,dishq,FoodTech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,India,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed Funding,400000,2018,August
2018-08-01,HealthFin,FinTech,Patient Financing Platform,India,Pune,"Axilor, Sprout Venture Partners and others",Seed Funding,,2018,August
2018-07-31,Five Star Group,FinTech,Non-Bank Lending Platform For SME,India,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000,2018,July
2018-07-31,Healthsignz,HealthTech,Health and Well being Platform,India,Hyderabad,Kantilal Patel,Seed Funding,5000000,2018,July
2018-07-30,Cure Fit,Consumer Internet,Health and fitness Platform,India,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000,2018,July
2018-07-30,Shuttl,Consumer Internet,Bus Aggregation Platform,India,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000,2018,July
2018-07-26,Bitla Software,SaaS & Enterprise Tech,Travel-Focused Tech Startup,India,Bengaluru,MakeMyTrip,Private Equity,,2018,July
2018-07-26,Entropik,SaaS & Enterprise Tech,Software-As-A-Service Platform,India,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed Funding,1100000,2018,July
2018-07-26,TheCapitalNet,FinTech,Unified Global Investments Ecosystem,India,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000,2018,July
